"","Gender","Age","Education_level","Employment_status","Income_group","Country","Household_members_number","Number_vehicles_household","Leisure_trips_number","Plan_to_purchase_vehicle","buy_electric"
"18","M",17,"Upper secondary (high school)","Full time employed","higher middle","Austria","three",4,2,"No",TRUE
"19","M",21,"Upper secondary (high school)","Studying","lower middle","Austria","four",1,1,"No",TRUE
"20","F",59,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Austria","one (myself)",1,7,"No",TRUE
"21","M",56,"Upper secondary (high school)","Full time employed","middle","Austria","three",3,2,"Yes, in the next 12 months",FALSE
"22","M",53,"Upper secondary (high school)","Full time employed","higher middle","Austria","two",2,2,"Yes, in the next 2 years",FALSE
"23","M",59,"Upper secondary (high school)","Unemployed","middle","Austria","two",2,0,"Yes, in the next 12 months",TRUE
"24","F",51,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","one (myself)",2,2,"Yes, in the next 12 months",TRUE
"25","M",55,"Upper secondary (high school)","Full time employed","middle","Austria","one (myself)",1,1,"Yes, in the next 2 years",FALSE
"26","F",48,"Upper secondary (high school)","I prefer not to answer","low","Austria","one (myself)",0,0,"Yes, in the next 12 months",FALSE
"27","M",21,"Upper secondary (high school)","Full time employed","middle","Austria","three",2,5,"No",FALSE
"28","M",40,"Primary (elementary school)","Full time employed","middle","Austria","one (myself)",2,2,"No",FALSE
"29","M",45,"Lower secondary (upper elementary school)","Unemployed","low","Austria","two",3,0,"Yes, in the next 2 years",TRUE
"30","F",55,"Upper secondary (high school)","Part time employed","middle","Austria","two",2,0,"No",TRUE
"31","M",55,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","three",3,2,"Yes, in the next 2 years",FALSE
"32","M",49,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Austria","three",1,0,"Yes, in the next 12 months",FALSE
"33","M",34,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","one (myself)",1,1,"Yes, in the next 2 years",TRUE
"34","F",43,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","three",2,0,"No",FALSE
"35","F",53,"Upper secondary (high school)","Part time employed","lower middle","Austria","four",2,1,"Yes, in the next 6 months",TRUE
"36","M",54,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","one (myself)",2,10,"Yes, in the next 12 months",TRUE
"37","F",24,"Tertiary and higher (University degree or PhD)","Studying","lower middle","Austria","two",1,2,"Yes, in the next 2 years",TRUE
"38","M",55,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Austria","two",3,1,"Yes, in the next 2 years",TRUE
"39","M",57,"Primary (elementary school)","Retired","middle","Austria","two",2,3,"No",TRUE
"40","M",39,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","three",1,3,"Yes, in the next 2 years",TRUE
"41","M",53,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","four",3,0,"Yes, in the next 2 years",TRUE
"42","F",50,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","three",2,0,"No",FALSE
"43","F",51,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","two",1,1,"No",TRUE
"44","M",39,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","three",3,3,"Yes, in the next 12 months",TRUE
"45","M",34,"Lower secondary (upper elementary school)","Part time employed","middle","Austria","two",1,1,"Yes, in the next 2 years",FALSE
"46","M",39,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","more than five",2,3,"No",TRUE
"47","M",58,"Upper secondary (high school)","Full time employed","higher middle","Austria","two",4,8,"Yes, in the next 12 months",TRUE
"48","F",31,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Austria","two",0,0,"Yes, in the next 12 months",FALSE
"49","M",53,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","one (myself)",0,3,"Don’t know/no answer",FALSE
"50","M",54,"Lower secondary (upper elementary school)","Retired","lower middle","Austria","two",2,4,"No",TRUE
"51","M",42,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","two",1,10,"No",TRUE
"52","M",19,"Upper secondary (high school)","Studying","higher middle","Austria","three",2,2,"No",FALSE
"53","M",55,"Tertiary and higher (University degree or PhD)","Retired","low","Austria","one (myself)",1,0,"Yes, in the next 6 months",FALSE
"54","F",33,"Tertiary and higher (University degree or PhD)","Studying","middle","Austria","one (myself)",1,3,"Yes, in the next 12 months",FALSE
"55","M",23,"Upper secondary (high school)","Full time employed","middle","Austria","one (myself)",1,2,"No",TRUE
"56","F",28,"Lower secondary (upper elementary school)","Part time employed","higher middle","Austria","three",2,0,"No",FALSE
"57","F",58,"Upper secondary (high school)","Part time employed","middle","Austria","two",1,1,"Yes, in the next 12 months",TRUE
"58","M",38,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","one (myself)",1,5,"No",TRUE
"59","M",57,"Upper secondary (high school)","Full time employed","lower middle","Austria","two",1,4,"Yes, in the next 2 years",TRUE
"60","F",30,"Upper secondary (high school)","Full time employed","higher middle","Austria","three",2,2,"No",TRUE
"61","M",53,"Upper secondary (high school)","Full time employed","higher middle","Austria","three",2,0,"Yes, in the next 12 months",FALSE
"62","M",52,"Tertiary and higher (University degree or PhD)","Part time employed","low","Austria","one (myself)",1,1,"Yes, in the next 2 years",FALSE
"63","F",30,"Upper secondary (high school)","Part time employed","middle","Austria","four",2,0,"No",TRUE
"64","M",50,"Upper secondary (high school)","Full time employed","middle","Austria","one (myself)",1,0,"Yes, in the next 2 years",TRUE
"65","F",52,"Lower secondary (upper elementary school)","Part time employed","low","Austria","four",2,2,"Yes, in the next 2 years",FALSE
"66","M",47,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","three",1,6,"Yes, in the next 2 years",TRUE
"67","M",55,"Upper secondary (high school)","Full time employed","middle","Austria","two",2,4,"Yes, in the next 2 years",FALSE
"68","M",48,"Lower secondary (upper elementary school)","Full time employed","higher middle","Austria","three",2,30,"Don’t know/no answer",FALSE
"69","M",35,"Upper secondary (high school)","Full time employed","lower middle","Austria","four",2,0,"No",TRUE
"70","F",64,"Upper secondary (high school)","Retired","middle","Austria","two",2,2,"Yes, in the next 2 years",FALSE
"71","F",41,"Lower secondary (upper elementary school)","Part time employed","lower middle","Austria","five",4,2,"No",FALSE
"72","F",33,"Lower secondary (upper elementary school)","Part time employed","middle","Austria","three",2,0,"No",FALSE
"73","F",50,"Tertiary and higher (University degree or PhD)","Full time employed","high","Austria","five",3,20,"Yes, in the next 2 years",TRUE
"74","F",63,"Lower secondary (upper elementary school)","Retired","middle","Austria","two",1,2,"Yes, in the next 2 years",FALSE
"75","F",52,"Upper secondary (high school)","Part time employed","lower middle","Austria","two",1,0,"No",FALSE
"76","M",47,"Upper secondary (high school)","Full time employed","higher middle","Austria","two",2,50,"Yes, in the next 2 years",FALSE
"77","M",39,"Lower secondary (upper elementary school)","Full time employed","high","Austria","two",2,0,"No",TRUE
"78","F",40,"Upper secondary (high school)","Full time employed","high","Austria","two",2,1,"Yes, in the next 2 years",FALSE
"79","M",39,"Lower secondary (upper elementary school)","Full time employed","lower middle","Austria","one (myself)",1,3,"Yes, in the next 2 years",FALSE
"80","M",53,"Upper secondary (high school)","Full time employed","middle","Austria","two",3,5,"Yes, in the next 2 years",FALSE
"81","F",52,"Primary (elementary school)","Other","low","Austria","two",1,0,"No",FALSE
"82","M",62,"Primary (elementary school)","Retired","lower middle","Austria","two",1,5,"Yes, in the next 2 years",TRUE
"83","F",26,"Lower secondary (upper elementary school)","Part time employed","lower middle","Austria","four",1,0,"No",FALSE
"84","M",52,"Primary (elementary school)","Full time employed","middle","Austria","two",2,1,"Yes, in the next 2 years",FALSE
"85","M",26,"Upper secondary (high school)","Part time employed","lower middle","Austria","two",0,2,"Yes, in the next 6 months",FALSE
"86","F",62,"Primary (elementary school)","Retired","low","Austria","two",1,0,"Don’t know/no answer",TRUE
"87","M",43,"Upper secondary (high school)","Full time employed","low","Austria","one (myself)",1,50,"No",FALSE
"88","M",27,"Primary (elementary school)","Full time employed","middle","Austria","three",2,3,"Yes, in the next 2 years",TRUE
"89","F",56,"Upper secondary (high school)","Full time employed","higher middle","Austria","two",2,10,"Yes, in the next 6 months",TRUE
"90","M",44,"Lower secondary (upper elementary school)","Full time employed","higher middle","Austria","two",1,10,"Yes, in the next 12 months",FALSE
"91","M",24,"Upper secondary (high school)","Full time employed","high","Austria","three",4,4,"No",FALSE
"92","M",28,"Upper secondary (high school)","Studying","middle","Austria","four",3,0,"Yes, in the next 2 years",FALSE
"93","F",25,"Upper secondary (high school)","Full time employed","middle","Austria","two",2,0,"No",TRUE
"94","F",29,"Tertiary and higher (University degree or PhD)","Part time employed","higher middle","Austria","three",2,3,"No",TRUE
"95","F",51,"Primary (elementary school)","Full time employed","middle","Austria","four",4,0,"No",FALSE
"96","F",31,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","three",2,3,"Yes, in the next 12 months",TRUE
"97","F",65,"Tertiary and higher (University degree or PhD)","Retired","middle","Austria","two",1,1,"No",TRUE
"98","F",31,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","two",2,3,"Yes, in the next 2 years",FALSE
"99","M",46,"Primary (elementary school)","Full time employed","lower middle","Austria","two",2,1,"No",TRUE
"100","F",55,"Lower secondary (upper elementary school)","Full time employed","lower middle","Austria","two",1,5,"No",FALSE
"101","F",62,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","two",1,0,"No",TRUE
"102","M",52,"Upper secondary (high school)","Unemployed","I prefer not to answer","Austria","one (myself)",2,0,"Don’t know/no answer",FALSE
"103","M",45,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","four",1,6,"Yes, in the next 6 months",FALSE
"104","M",33,"Upper secondary (high school)","Unemployed","lower middle","Austria","two",1,3,"Yes, in the next 6 months",FALSE
"105","F",46,"Primary (elementary school)","Full time employed","middle","Austria","five",2,1,"No",FALSE
"106","F",54,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","one (myself)",1,2,"No",TRUE
"107","M",43,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","four",2,2,"Yes, in the next 2 years",TRUE
"108","M",62,"Lower secondary (upper elementary school)","Retired","middle","Austria","two",1,1,"No",TRUE
"109","M",35,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","four",4,1,"Yes, in the next 2 years",FALSE
"110","M",51,"Upper secondary (high school)","Full time employed","lower middle","Austria","two",3,1,"Yes, in the next 12 months",FALSE
"111","F",55,"Upper secondary (high school)","Full time employed","lower middle","Austria","one (myself)",1,3,"No",FALSE
"112","F",52,"Lower secondary (upper elementary school)","Other","lower middle","Austria","three",1,0,"Yes, in the next 2 years",TRUE
"113","F",28,"Upper secondary (high school)","Full time employed","higher middle","Austria","three",3,1,"Yes, in the next 2 years",TRUE
"114","F",28,"Upper secondary (high school)","Studying","middle","Austria","two",2,4,"Yes, in the next 2 years",TRUE
"115","M",24,"Primary (elementary school)","Unemployed","higher middle","Austria","three",1,1,"No",FALSE
"116","F",37,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Austria","three",2,0,"Don’t know/no answer",FALSE
"117","F",44,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Austria","two",1,1,"No",FALSE
"118","M",49,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","two",2,20,"Yes, in the next 2 years",FALSE
"119","F",22,"Upper secondary (high school)","Studying","lower middle","Austria","one (myself)",1,0,"Yes, in the next 2 years",TRUE
"120","F",34,"Upper secondary (high school)","Retired","I prefer not to answer","Austria","two",1,0,"Don’t know/no answer",FALSE
"121","F",44,"Tertiary and higher (University degree or PhD)","Part time employed","low","Austria","one (myself)",1,1,"No",TRUE
"122","M",38,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","two",2,2,"Don’t know/no answer",FALSE
"123","F",56,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","five",2,2,"Yes, in the next 2 years",TRUE
"124","M",25,"Lower secondary (upper elementary school)","Full time employed","low","Austria","three",2,1,"No",FALSE
"125","F",48,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","one (myself)",0,3,"No",FALSE
"126","F",21,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","three",4,2,"No",TRUE
"127","M",53,"Upper secondary (high school)","Retired","lower middle","Austria","four",3,5,"Yes, in the next 12 months",FALSE
"128","M",57,"Primary (elementary school)","Retired","lower middle","Austria","three",1,6,"No",FALSE
"129","M",29,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","two",2,1,"Yes, in the next 6 months",FALSE
"130","F",53,"Primary (elementary school)","Full time employed","middle","Austria","two",3,2,"Yes, in the next 6 months",FALSE
"131","F",48,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","four",1,5,"No",TRUE
"132","M",21,"Upper secondary (high school)","Studying","lower middle","Austria","four",2,0,"Yes, in the next 2 years",TRUE
"133","M",28,"Upper secondary (high school)","Full time employed","middle","Austria","three",1,5,"No",TRUE
"134","F",39,"Lower secondary (upper elementary school)","Part time employed","lower middle","Austria","three",2,1,"No",FALSE
"135","M",30,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","four",1,1,"Yes, in the next 12 months",FALSE
"136","M",23,"Upper secondary (high school)","Full time employed","higher middle","Austria","one (myself)",2,8,"Yes, in the next 12 months",FALSE
"137","F",55,"Primary (elementary school)","Full time employed","lower middle","Austria","two",2,0,"Don’t know/no answer",FALSE
"138","M",34,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","three",2,1,"Yes, in the next 2 years",TRUE
"139","F",28,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","five",4,2,"Yes, in the next 2 years",TRUE
"140","M",61,"Lower secondary (upper elementary school)","Retired","middle","Austria","two",1,3,"Yes, in the next 6 months",FALSE
"141","M",34,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","two",1,1,"Yes, in the next 12 months",TRUE
"142","F",32,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Austria","two",1,1,"Yes, in the next 2 years",FALSE
"143","F",62,"Tertiary and higher (University degree or PhD)","Retired","higher middle","Austria","two",1,1,"No",TRUE
"144","F",53,"Upper secondary (high school)","I prefer not to answer","middle","Austria","three",2,0,"No",TRUE
"145","M",65,"Primary (elementary school)","Retired","lower middle","Austria","two",2,0,"No",FALSE
"146","M",58,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","one (myself)",1,0,"No",TRUE
"147","F",50,"Upper secondary (high school)","Full time employed","middle","Austria","one (myself)",1,1,"Yes, in the next 2 years",FALSE
"148","M",53,"Upper secondary (high school)","Full time employed","higher middle","Austria","two",3,3,"No",TRUE
"149","M",63,"Tertiary and higher (University degree or PhD)","Retired","middle","Austria","two",1,1,"No",FALSE
"150","F",54,"Primary (elementary school)","Other","low","Austria","three",1,3,"No",TRUE
"151","M",60,"Primary (elementary school)","Part time employed","middle","Austria","two",1,3,"Yes, in the next 2 years",FALSE
"152","M",65,"Upper secondary (high school)","Retired","lower middle","Austria","two",2,1,"Yes, in the next 2 years",TRUE
"153","M",51,"Primary (elementary school)","Full time employed","lower middle","Austria","one (myself)",1,0,"Yes, in the next 12 months",FALSE
"154","M",17,"Lower secondary (upper elementary school)","Part time employed","higher middle","Austria","more than five",1,1,"No",TRUE
"155","M",33,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","two",1,5,"Yes, in the next 12 months",TRUE
"156","M",62,"Lower secondary (upper elementary school)","Retired","middle","Austria","two",1,2,"No",FALSE
"157","F",53,"Upper secondary (high school)","Full time employed","low","Austria","one (myself)",1,0,"No",FALSE
"158","M",49,"Upper secondary (high school)","Full time employed","middle","Austria","two",1,10,"Yes, in the next 6 months",FALSE
"159","M",46,"Primary (elementary school)","Full time employed","lower middle","Austria","four",2,1,"No",TRUE
"160","M",48,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","three",2,1,"Yes, in the next 2 years",FALSE
"161","F",45,"Primary (elementary school)","Full time employed","middle","Austria","three",1,1,"No",TRUE
"162","M",48,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","five",2,2,"Yes, in the next 2 years",TRUE
"163","M",49,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","three",2,5,"Yes, in the next 6 months",FALSE
"164","F",55,"Tertiary and higher (University degree or PhD)","Retired","higher middle","Austria","one (myself)",1,0,"Yes, in the next 6 months",FALSE
"165","M",58,"Upper secondary (high school)","Part time employed","middle","Austria","two",1,2,"No",TRUE
"166","F",59,"Lower secondary (upper elementary school)","Retired","middle","Austria","two",0,2,"Don’t know/no answer",TRUE
"167","M",52,"Primary (elementary school)","Unemployed","I prefer not to answer","Austria","two",1,0,"No",FALSE
"168","M",63,"Lower secondary (upper elementary school)","Retired","lower middle","Austria","two",2,4,"Yes, in the next 2 years",FALSE
"169","M",47,"Upper secondary (high school)","Full time employed","middle","Austria","four",2,1,"No",TRUE
"170","M",60,"Primary (elementary school)","Retired","low","Austria","one (myself)",1,0,"Yes, in the next 6 months",FALSE
"171","M",51,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","one (myself)",1,1,"Yes, in the next 12 months",TRUE
"172","M",29,"Upper secondary (high school)","Part time employed","lower middle","Austria","two",2,0,"Yes, in the next 2 years",TRUE
"173","F",29,"Tertiary and higher (University degree or PhD)","Studying","lower middle","Austria","two",1,8,"Don’t know/no answer",FALSE
"174","F",28,"Tertiary and higher (University degree or PhD)","Full time employed","high","Austria","more than five",3,1,"Yes, in the next 6 months",TRUE
"175","M",24,"Primary (elementary school)","Full time employed","middle","Austria","two",2,2,"Yes, in the next 12 months",TRUE
"176","M",49,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","two",2,2,"Yes, in the next 2 years",TRUE
"177","F",33,"Upper secondary (high school)","Full time employed","middle","Austria","two",2,6,"Yes, in the next 2 years",FALSE
"178","M",62,"Tertiary and higher (University degree or PhD)","Retired","high","Austria","two",2,2,"Yes, in the next 2 years",TRUE
"179","F",22,"Upper secondary (high school)","Studying","lower middle","Austria","three",0,1,"No",TRUE
"180","M",35,"Lower secondary (upper elementary school)","Full time employed","lower middle","Austria","two",1,10,"Yes, in the next 12 months",FALSE
"181","M",24,"Upper secondary (high school)","Studying","higher middle","Austria","three",2,4,"Yes, in the next 2 years",TRUE
"182","M",60,"Upper secondary (high school)","Retired","lower middle","Austria","four",0,0,"Yes, in the next 12 months",TRUE
"183","M",23,"Upper secondary (high school)","Full time employed","middle","Austria","one (myself)",1,1,"Yes, in the next 2 years",FALSE
"184","F",21,"Upper secondary (high school)","Studying","high","Austria","three",3,4,"No",TRUE
"185","M",24,"Upper secondary (high school)","Studying","low","Austria","one (myself)",1,1,"Yes, in the next 6 months",FALSE
"186","F",25,"Upper secondary (high school)","Full time employed","higher middle","Austria","five",2,0,"Yes, in the next 12 months",FALSE
"187","M",55,"Primary (elementary school)","Full time employed","middle","Austria","two",3,5,"No",TRUE
"188","M",20,"Upper secondary (high school)","Studying","lower middle","Austria","one (myself)",1,1,"No",TRUE
"189","F",58,"Primary (elementary school)","Full time employed","middle","Austria","two",2,0,"Yes, in the next 12 months",TRUE
"190","F",28,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","two",2,3,"No",TRUE
"191","M",39,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","two",2,1,"Yes, in the next 6 months",FALSE
"192","F",20,"Upper secondary (high school)","Full time employed","lower middle","Austria","one (myself)",2,1,"Yes, in the next 2 years",TRUE
"193","M",65,"Upper secondary (high school)","Retired","middle","Austria","two",2,40,"No",FALSE
"194","F",32,"Upper secondary (high school)","Part time employed","higher middle","Austria","three",3,5,"Yes, in the next 2 years",TRUE
"195","M",26,"Tertiary and higher (University degree or PhD)","Studying","low","Austria","two",2,3,"Yes, in the next 2 years",TRUE
"196","F",34,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","two",1,7,"No",TRUE
"197","F",46,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","four",3,2,"Yes, in the next 2 years",TRUE
"198","M",42,"Primary (elementary school)","Full time employed","lower middle","Austria","one (myself)",1,0,"Yes, in the next 2 years",FALSE
"199","F",32,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","two",2,2,"No",FALSE
"200","M",59,"Lower secondary (upper elementary school)","Full time employed","lower middle","Austria","two",2,0,"No",TRUE
"201","M",59,"Tertiary and higher (University degree or PhD)","Full time employed","low","Austria","one (myself)",1,6,"Yes, in the next 12 months",FALSE
"202","F",59,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","three",2,5,"Yes, in the next 2 years",TRUE
"203","F",58,"Lower secondary (upper elementary school)","Unemployed","low","Austria","one (myself)",1,1,"Yes, in the next 2 years",FALSE
"204","F",62,"Lower secondary (upper elementary school)","Retired","middle","Austria","two",3,2,"No",FALSE
"205","M",43,"Upper secondary (high school)","Full time employed","lower middle","Austria","four",2,0,"Yes, in the next 2 years",FALSE
"206","F",57,"Upper secondary (high school)","Retired","middle","Austria","one (myself)",1,3,"No",FALSE
"207","F",33,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","three",4,3,"No",FALSE
"208","M",37,"Primary (elementary school)","Full time employed","middle","Austria","four",2,0,"No",FALSE
"209","M",16,"Upper secondary (high school)","Studying","middle","Austria","five",1,4,"Yes, in the next 2 years",FALSE
"210","M",36,"Lower secondary (upper elementary school)","Full time employed","low","Austria","two",1,1,"Don’t know/no answer",FALSE
"211","F",53,"Upper secondary (high school)","Full time employed","middle","Austria","one (myself)",1,3,"Yes, in the next 12 months",TRUE
"212","F",32,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","two",3,2,"No",FALSE
"213","F",50,"Upper secondary (high school)","Part time employed","I prefer not to answer","Austria","three",2,2,"No",TRUE
"214","F",34,"Upper secondary (high school)","Part time employed","middle","Austria","five",2,3,"Yes, in the next 2 years",FALSE
"215","M",36,"Upper secondary (high school)","Full time employed","I prefer not to answer","Austria","one (myself)",2,0,"No",FALSE
"216","M",18,"Lower secondary (upper elementary school)","Studying","middle","Austria","four",2,1,"Yes, in the next 12 months",FALSE
"217","M",32,"Lower secondary (upper elementary school)","Full time employed","middle","Austria","two",2,2,"No",TRUE
"218","F",20,"Upper secondary (high school)","Studying","middle","Austria","five",2,2,"Yes, in the next 2 years",TRUE
"219","M",53,"Lower secondary (upper elementary school)","Full time employed","lower middle","Austria","four",1,2,"No",TRUE
"220","F",28,"Upper secondary (high school)","Part time employed","lower middle","Austria","two",0,3,"No",TRUE
"221","M",26,"Lower secondary (upper elementary school)","Full time employed","lower middle","Austria","one (myself)",2,0,"Don’t know/no answer",TRUE
"222","F",62,"Lower secondary (upper elementary school)","Part time employed","I prefer not to answer","Austria","one (myself)",0,1,"Yes, in the next 12 months",TRUE
"223","F",37,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","one (myself)",1,3,"Yes, in the next 2 years",TRUE
"224","M",36,"Upper secondary (high school)","Full time employed","lower middle","Austria","one (myself)",1,1,"Yes, in the next 2 years",FALSE
"225","F",30,"Upper secondary (high school)","Full time employed","lower middle","Austria","three",1,1,"Yes, in the next 6 months",FALSE
"226","M",51,"Lower secondary (upper elementary school)","Unemployed","middle","Austria","three",1,8,"Yes, in the next 6 months",TRUE
"227","F",54,"Upper secondary (high school)","I prefer not to answer","low","Austria","one (myself)",1,1,"Yes, in the next 2 years",TRUE
"228","F",34,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","two",1,2,"No",FALSE
"229","M",50,"Upper secondary (high school)","Full time employed","higher middle","Austria","two",1,2,"No",FALSE
"230","F",40,"Primary (elementary school)","Part time employed","I prefer not to answer","Austria","three",1,0,"No",FALSE
"231","M",36,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","three",2,4,"Yes, in the next 2 years",TRUE
"232","M",18,"Upper secondary (high school)","Studying","higher middle","Austria","five",3,3,"Yes, in the next 12 months",TRUE
"233","M",18,"Upper secondary (high school)","Studying","I prefer not to answer","Austria","three",3,2,"No",FALSE
"234","M",51,"Tertiary and higher (University degree or PhD)","Other","middle","Austria","three",1,30,"No",FALSE
"235","M",56,"Upper secondary (high school)","Full time employed","lower middle","Austria","two",2,3,"Yes, in the next 6 months",FALSE
"236","F",44,"Lower secondary (upper elementary school)","Full time employed","higher middle","Austria","more than five",2,1,"Yes, in the next 2 years",TRUE
"237","M",27,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","one (myself)",1,1,"Yes, in the next 2 years",TRUE
"238","F",56,"Upper secondary (high school)","Full time employed","middle","Austria","two",2,15,"Yes, in the next 6 months",FALSE
"239","M",21,"Upper secondary (high school)","Full time employed","middle","Austria","four",3,0,"Yes, in the next 6 months",FALSE
"240","M",49,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","four",2,2,"Yes, in the next 2 years",FALSE
"241","M",46,"Upper secondary (high school)","Full time employed","middle","Austria","four",2,4,"Yes, in the next 12 months",TRUE
"242","F",42,"Upper secondary (high school)","Full time employed","lower middle","Austria","one (myself)",1,2,"No",TRUE
"243","F",60,"Lower secondary (upper elementary school)","Retired","middle","Austria","four",4,4,"Yes, in the next 12 months",FALSE
"244","M",27,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Austria","two",2,7,"No",FALSE
"245","F",31,"Upper secondary (high school)","Full time employed","middle","Austria","two",1,2,"No",FALSE
"246","M",39,"Upper secondary (high school)","Full time employed","lower middle","Austria","one (myself)",1,0,"Yes, in the next 2 years",FALSE
"247","F",48,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Austria","two",1,1,"No",TRUE
"248","F",30,"Upper secondary (high school)","Full time employed","higher middle","Austria","one (myself)",1,2,"Yes, in the next 6 months",FALSE
